"bias_type","k_scenario","true_effect","true_tau","n_sims","naive_bias","naive_rmse","naive_mae","tf_bias","tf_rmse","tf_mae","tf_convergence","pp_bias","pp_rmse","pp_mae","pp_convergence","pp_pct_peese","pp_pct_negative_intercept","copas_bias","copas_rmse","copas_mae","copas_convergence","naive_tau2_bias","tf_tau2_bias","pp_tau2_bias","copas_tau2_bias","naive_pi_width","tf_pi_width","pp_pi_width","copas_pi_width","naive_coverage","naive_coverage_se","tf_coverage","tf_coverage_se","pp_coverage","pp_coverage_se","copas_coverage","copas_coverage_se"
"continuous",10,0.3,0.1,96,0.0614665010610485,0.106744920240505,0.0861071580181462,0.0573012304398783,0.105779051689526,0.0851012181570382,1,0.0612660093191103,1.53114241487446,1.21422053825008,1,0.0416666666666667,0.4375,0.0256013846280285,0.147598103255535,0.121631449031669,0.854166666666667,0.00518575621843789,0.00705290856423953,0.00681492671313912,0.0019219129831621,0.827546928856559,0.831179375499692,11.4247439735945,0.958438817826847,0.96875,0.017758049084617,0.989583333333333,0.0103622711686747,0.979166666666667,0.0145771316178357,0.854166666666667,0.0389755977788952
"continuous",10,0.3,0.3,99,0.0944611925969989,0.178734865849161,0.14347019463708,0.0791772079064246,0.183004196462975,0.143745765188879,1,-0.416626926918894,2.39075234657717,2.001603992734,1,0.202020202020202,0.515151515151515,0.0405612508971726,0.307489737558308,0.240111275107039,0.868686868686869,0.0141917733007465,0.0223912076466449,0.00110430491363212,-0.000901580844003553,1.81242872260375,1.82919199328427,13.8095567480874,1.95511009348542,0.94949494949495,0.0220087885059658,0.94949494949495,0.0220087885059658,0.94949494949495,0.0220087885059658,0.808080808080808,0.0424656106684582
"continuous",10,0.3,0.5,100,0.048611716049714,0.251090885539002,0.207393704556375,0.0338891535523857,0.250995354745076,0.206614753877016,1,-1.33227972895219,3.99138959507574,3.09157589992375,1,0.14,0.63,-0.0871332703089607,0.431964286944897,0.337075839797005,0.91,0.038001417316686,0.0463914727193952,0.0197636926639786,0.00247495873468937,3.36033460156228,3.36965264306458,23.6942970848028,3.55344978976642,1,0,1,0,0.94,0.0237486841740758,0.89,0.0327997587769205
"continuous",10,0.5,0.1,100,0.0424262264113891,0.099057085526271,0.0768731266036359,0.0360725929118314,0.0959945940521244,0.0769611400929842,1,-0.257713546333404,1.62188043200556,1.28443091203286,1,0.04,0.43,-0.0942464191531694,0.971818068502584,0.191727942100755,0.86,0.00491109961359428,0.00754937641133807,0.00606858075097759,0.0270532407416648,0.702673021962492,0.707868242346844,9.36278168449451,1.67706957055716,0.98,0.014,0.98,0.014,0.99,0.0099498743710662,0.76,0.0460535583050663
"continuous",10,0.5,0.3,100,0.0951965730246044,0.165893851068972,0.130649308932311,0.0776063322383567,0.169521100933405,0.131698161155102,1,-0.869920914489357,2.35446284156939,1.905559417277,1,0.12,0.61,0.0526054464346659,0.24084961828916,0.188113423620873,0.87,-0.0108897066324899,-0.00263622722667933,-0.0173856398555698,-0.0156581504022239,1.4705040677461,1.49032488997133,11.2415206450704,1.61299590531439,0.98,0.014,0.97,0.017058722109232,0.94,0.0237486841740758,0.79,0.0436680266525079
"continuous",10,0.5,0.5,100,0.110587776704347,0.222581866945565,0.185603205356574,0.0853480911482452,0.222622681008715,0.184706579543315,1,-1.9202880255241,3.76568027860885,3.02107220147495,1,0.2,0.79,-0.0495929071276037,0.39919330088729,0.318276178296653,0.92,0.00196509200028751,0.0116408717914156,-0.0492828622175865,-0.00260180234246256,2.76129537730531,2.76844370644415,14.2775771609084,2.95484929633806,0.99,0.0099498743710662,0.99,0.0099498743710662,0.9,0.03,0.87,0.0350620567863176
"continuous",10,0.8,0.1,100,0.0207393018645304,0.0840119628592218,0.0683618734477205,0.0164146854146952,0.0837366117080541,0.0696076090477029,1,-0.375797392948191,1.19256966264601,0.946870470008127,1,0.04,0.33,0.0196196428767853,0.0895593281536725,0.071127361684461,0.87,0.00355320354493517,0.00553543565891892,0.00440465361604471,0.000407195970966285,0.593669098636517,0.615712423012784,6.64106308443217,0.789211781465312,0.99,0.0099498743710662,1,0,0.98,0.014,0.13,0.0360555127546399
"continuous",10,0.8,0.3,100,0.031238343371017,0.117243682458577,0.0989401920046637,0.0226957222382468,0.119260852461672,0.100428688441283,1,-1.3074376819122,2.19887225235488,1.77914562178045,1,0.1,0.59,-0.0196927442641134,0.205472935711599,0.136689038234703,0.89,-0.0180623210760882,-0.0148352032973833,-0.0282844941135206,-0.000626277285055452,1.29269218750926,1.30802495420829,8.95635902469246,1.97482126494376,0.99,0.0099498743710662,0.98,0.014,0.88,0.0324961536185438,0.58,0.0523170971259434
"continuous",10,0.8,0.5,100,0.0918056465827277,0.188830938155088,0.155646397618508,0.0630186982943642,0.182086674764541,0.150467190371608,1,-2.38863889521468,3.05291590060366,2.53659215416765,1,0.25,0.84,0.0130246447199813,0.329286382526277,0.225245909742232,0.91,-0.0465766034560217,-0.0352623588088518,-0.0953106436079371,-0.0346632622102308,2.21211823159011,2.23155426912286,10.8677886648027,2.96990033551462,0.98,0.014,0.98,0.014,0.83,0.0375632799419859,0.7,0.0480384461415261
"continuous",20,0.3,0.1,100,0.068879715562817,0.0963715010963134,0.0800655845258185,0.0638889467978145,0.0948828096688954,0.0780439547334179,1,-0.0549534914214479,1.1685838304591,0.90020291892441,1,0.06,0.39,0.0543842802560988,0.128172406391836,0.103570619982607,1,0.00168560707441879,0.00371609714544613,0.00159160886535056,-0.00104730237529023,0.48181248504908,0.507872358733114,4.996868370965,0.57323443713117,0.88,0.0324961536185438,0.87,0.0336303434416005,0.97,0.017058722109232,0.91,0.0286181760425084
