"dataset","source","yi","vi","reputation","pubyear","continent","quality","weight"
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.0943754319753949,0.0383780435349689,-11,-0.854753598567719,"1",6,26.0565653663098
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.0998192254826877,0.0368067904506541,0,-0.752771843659381,"0",9,27.1688997534483
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.169316070658683,0.0142367636445691,-11,-0.660483487841363,"1",5,70.2406828522065
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.175111066644608,0.0134929536603929,4,-0.563048425388212,"0",9,74.1127573079415
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.273016412718015,0.0271243049807807,-10,-0.43087925014707,"1",2,36.8673040916095
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.285946678988429,0.0290463392192846,-9,-0.358262881978104,"0",10,34.4277463831336
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.357629812649398,0.0369346487825372,-8,-0.230772638252626,"0",6,27.0748479534155
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.361331151557102,0.0380282172552365,-8,-0.144030628136049,"0",3,26.2962629378136
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.398196345922438,0.0517199034236221,-8,-0.0581757616500058,"0",10,19.334916227691
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.400115879048494,0.0522954755132023,0,0.0404641389970979,"0",3,19.1221131500668
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.414007491226164,0.0665849162724694,-5,0.174009311099847,"0",1,15.0184164219407
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.416414223153931,0.0647834227145709,-5,0.241379601138955,"1",5,15.4360476507377
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.423304349509297,0.0201816646476827,-4,0.342032203826433,"0",10,49.5499265029567
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.42430644828756,0.0218054613868294,-4,0.439008236372223,"0",2,45.860070661197
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.510896714377094,0.121247416752957,-3,0.548886244318759,"0",1,8.24759839657048
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.529223255758051,0.124932361752078,-3,0.652866593388219,"0",2,8.00433119150065
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.534782235818941,0.0610981395263296,-2,0.770830088875567,"0",4,16.3671104840935
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.543244885197954,0.0437886196996938,-1,0.843702097603431,"0",1,22.8369838295449
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.544282123102919,0.0442720571393434,0,-0.854753598567719,"0",8,22.5876108908282
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.555070036492336,0.0576282540768773,0,-0.752771843659381,"1",9,17.3525992764934
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.602733393147054,0.0509900975183145,0,-0.660483487841363,"1",9,19.6116510591262
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.603136371791156,0.0634370223295481,2,-0.563048425388212,"0",7,15.763665494971
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.616109620936008,0.0611724448953957,2,-0.43087925014707,"1",10,16.3472295689667
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.617817047860266,0.0385607418567462,-2,-0.358262881978105,"1",6,25.9331110307736
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.621659497277278,0.050873206695472,5,-0.230772638252626,"1",10,19.6567125399824
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.630051291303502,0.0389502110381526,6,-0.144030628136049,"1",6,25.6738018446287
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.692660166723821,0.066854101099618,6,-0.0581757616500059,"1",3,14.9579454895358
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.703682595817539,0.0670984797627245,8,0.0404641389970978,"0",1,14.9034673145536
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.712522365049709,0.0493885960686824,9,0.174009311099847,"1",3,20.2475891116513
"dmetar::MVRegressionData::MVRegressionData","dmetar",0.728538829236541,0.0512371001733491,9,0.241379601138955,"1",10,19.517107654741
"dmetar::MVRegressionData::MVRegressionData","dmetar",1.26552691592574,0.11399158023342,9,0.342032203826432,"1",10,8.77257774611337
"dmetar::MVRegressionData::MVRegressionData","dmetar",1.27379208699539,0.112947906824053,0,0.439008236372222,"1",10,8.85363906351778
"dmetar::MVRegressionData::MVRegressionData","dmetar",1.48267074366777,0.10140663186814,11,0.548886244318758,"1",10,9.861287980655
"dmetar::MVRegressionData::MVRegressionData","dmetar",1.49121390749445,0.0988641951658251,12,0.652866593388219,"1",10,10.1148853568544
"dmetar::MVRegressionData::MVRegressionData","dmetar",1.76965564995066,0.121302177494596,13,0.770830088875567,"1",10,8.24387509486013
"dmetar::MVRegressionData::MVRegressionData","dmetar",1.80886584945948,0.120002850216363,0,0.843702097603431,"1",10,8.33313540634259
