"dataset","source","yi","vi","logrr","cases","dose","type","weight"
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.223143503069878,0.0498798524727928,-0.223143503069878,61,9.0600004196167,"cc",20.0481747724786
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-9.99999974737875e-05,0.0546399614341275,-9.99999974737875e-05,69,27,"cc",18.3016234593352
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",0.530628323554993,0.14176253613201,0.530628323554993,22,45,"cc",7.05404987301297
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",0.875468671321869,0.197140107094222,0.875468671321869,19,64.8000030517578,"cc",5.07253452754826
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.430782914161682,0.0489760075785493,-0.430782914161682,88,16.0499992370605,"cc",20.4181608391857
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-1.07880997657776,0.0885451676344962,-1.07880997657776,24,46.4249992370605,"cc",11.2936710914353
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.616186082363129,0.149830314109182,-0.616186082363129,13,77.1600036621094,"cc",6.67421680282468
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.579818487167358,0.100582230090879,-0.579818487167358,46,1.17599999904633,"cc",9.94211402050311
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.562118887901306,0.175237656113329,-0.562118887901306,17,8.91600036621094,"cc",5.70653603899659
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",0.615185618400574,0.826463886622722,0.615185618400574,4,18.7199993133545,"cc",1.20997422414477
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.287682086229324,0.111044628766251,-0.287682086229324,29,0.954999983310699,"cc",9.00538829397142
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",0.512823581695557,0.114496008416509,0.512823581695557,32,7.42999982833862,"cc",8.73392892756783
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.314710706472397,0.222166481246092,-0.314710706472397,18,15.6000003814697,"cc",4.50112903796819
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.415515512228012,0.0207980658438486,-0.415515512228012,229,6,"ci",48.0813940828911
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.634878277778625,0.0568100353605332,-0.634878277778625,38,18,"ci",17.602523808579
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.0833816006779671,0.0750131955170586,-0.0833816006779671,39,28.7999992370605,"ci",13.3309878762943
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.223143503069878,0.024519546028788,-0.223143503069878,129,6.25,"ci",40.7837893420178
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.010050299577415,0.123263570120017,-0.010050299577415,19,18.75,"ci",8.11269703632907
"dosresmeta::alcohol_cvd::alcohol_cvd","dosresmeta",-0.261364787817001,0.173481760020892,-0.261364787817001,15,30,"ci",5.7642947585935
