"dataset","source","yi","vi","tn","fp","tp","fn","weight"
"mada::Dementia::Dementia","mada",4.09121466921317,0.270467607105538,870,240,66,4,3.69730042980635
"mada::Dementia::Dementia","mada",4.68367324747603,0.200898818695429,110,10,118,12,4.97763006519238
"mada::Dementia::Dementia","mada",3.61429059712286,0.0874684343434343,990,64,48,20,11.4326957776976
"mada::Dementia::Dementia","mada",4.51007426894215,0.174755919649871,152,28,134,8,5.72226681650345
"mada::Dementia::Dementia","mada",3.27885852946991,0.234485263594853,292,44,24,6,4.26466032308033
"mada::Dementia::Dementia","mada",2.61267057444206,0.104532722179781,154,48,68,16,9.56638246041413
"mada::Dementia::Dementia","mada",6.22562823413803,2.08335103347132,72,0,64,18,0.479995921922855
"mada::Dementia::Dementia","mada",4.1432835248443,0.0726676027872836,286,20,282,64,13.7612906115432
"mada::Dementia::Dementia","mada",3.8177123259569,0.597652347652348,286,44,14,2,1.67321353949018
"mada::Dementia::Dementia","mada",4.35319839883704,0.092768104754553,178,30,262,20,10.7795669928346
"mada::Dementia::Dementia","mada",3.49852572562272,0.103897849462366,124,30,144,18,9.6248382923674
"mada::Dementia::Dementia","mada",2.11345842695809,0.0834890812512296,52,34,184,34,11.9776141384389
"mada::Dementia::Dementia","mada",3.72470538249665,2.05811925921605,140,152,22,0,0.485880492844185
"mada::Dementia::Dementia","mada",6.68124556893063,2.01106026624259,2092,590,112,0,0.497250140528296
"mada::Dementia::Dementia","mada",2.69858497646585,0.0277006762660495,1010,126,152,82,36.1002016844484
"mada::Dementia::Dementia","mada",2.3488361106448,0.114493698392003,236,26,30,26,8.73410514329095
"mada::Dementia::Dementia","mada",5.80111081861676,0.451948924731183,248,4,32,6,2.21263940520446
"mada::Dementia::Dementia","mada",4.24252507506286,0.436327345309381,334,12,10,4,2.29185727355901
"mada::Dementia::Dementia","mada",4.06826459245073,0.0135671881322489,10448,1438,708,88,73.707240605223
"mada::Dementia::Dementia","mada",2.8464394596654,0.0757441029180159,184,18,182,108,13.2023479251234
"mada::Dementia::Dementia","mada",1.81915844341617,0.10518018018018,74,24,60,30,9.50749464668094
"mada::Dementia::Dementia","mada",3.32323584019244,0.124624624624625,144,16,74,24,8.02409638554217
"mada::Dementia::Dementia","mada",2.93630885308319,0.162271062271062,210,26,28,12,6.16252821670429
"mada::Dementia::Dementia","mada",3.83548292830581,0.206718500797448,528,76,40,6,4.83749638345067
"mada::Dementia::Dementia","mada",3.0113262336566,0.0298526535618295,578,174,318,52,33.4978596769913
"mada::Dementia::Dementia","mada",2.4238104728414,0.0922165277613198,54,16,388,116,10.8440430829087
"mada::Dementia::Dementia","mada",3.67207233579755,0.546353364149974,44,2,118,66,1.83031727379553
"mada::Dementia::Dementia","mada",4.15980177887674,0.179664289958408,396,34,44,8,5.56593633732948
"mada::Dementia::Dementia","mada",2.14324498792456,0.0432335346480808,310,98,124,46,23.1301929888444
"mada::Dementia::Dementia","mada",3.23510701979678,0.317002764677183,172,4,26,44,3.15454662049506
"mada::Dementia::Dementia","mada",5.56571700911678,0.549188292274575,226,2,74,32,1.82086911550553
"mada::Dementia::Dementia","mada",6.59226355463661,2.0497495498777,440,0,38,46,0.487864480838483
"mada::Dementia::Dementia","mada",2.93129604897423,0.0666309824292629,376,46,78,34,15.0080332533236
