"dataset","source","yi","vi","dv_aligned","id_exp","n_total","setting","location","attrition","curriculum","assignment","weight"
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.9857,0.175003664970238,"yes",1,26,"other","one site",0,"fixed curriculum","random assignment or matching",5.71416604429436
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.0743,0.178806081636905,"yes",1,26,"other","one site",0,"fixed curriculum","random assignment or matching",5.59265093695562
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.6451,0.163431779970238,"yes",1,26,"other","one site",0,"fixed curriculum","random assignment or matching",6.11876099117385
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.5781,0.161724396636905,"yes",1,26,"other","one site",0,"fixed curriculum","random assignment or matching",6.18335897857852
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.0783,0.154889631636905,"yes",1,26,"other","one site",0,"fixed curriculum","random assignment or matching",6.45621007314562
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.5665,0.177748611607143,"yes",2,30,"other","one site",0,"fixed curriculum","random assignment or matching",5.62592298729277
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.8504,0.146842502857143,"yes",2,30,"other","one site",0,"fixed curriculum","random assignment or matching",6.81001740329132
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.1237,0.134201815892857,"yes",2,30,"other","one site",0,"fixed curriculum","random assignment or matching",7.45146400104133
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.5822,0.139981372142857,"yes",2,30,"other","one site",0,"fixed curriculum","random assignment or matching",7.14380767020527
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.4406,0.137395149285714,"yes",2,30,"other","one site",0,"fixed curriculum","random assignment or matching",7.27827732782978
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.391,0.113943388528139,"yes",3,44,"other","one site",0,"not fixed","random assignment or matching",8.77628805775812
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.9366,0.101352180909091,"yes",3,44,"other","one site",0,"not fixed","random assignment or matching",9.86658590895998
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.7995,0.0985186176948052,"no",3,44,"other","one site",0,"not fixed","random assignment or matching",10.150365721714
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.1802,0.107490900909091,"yes",3,44,"other","one site",0,"not fixed","random assignment or matching",9.30311302205697
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.0791,0.0354033195452962,"yes",4,132,"other","one site",61.9246861924686,"not fixed","random assignment or matching",28.2459388792784
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.0254,0.0353817362760654,"yes",4,132,"other","one site",61.9246861924686,"not fixed","random assignment or matching",28.2631692293876
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.5117,0.123389447020285,"yes",5,34,"other",">1 site",9.52380952380952,"not fixed","not random/matched + one-group design",8.10442079244915
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.5003,0.123209184520285,"yes",5,34,"other",">1 site",9.52380952380952,"not fixed","not random/matched + one-group design",8.1162780509708
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.8574,0.130784726239035,"yes",5,34,"other",">1 site",9.52380952380952,"not fixed","not random/matched + one-group design",7.6461527944196
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.083,0.119405886239035,"yes",5,34,"other",">1 site",9.52380952380952,"not fixed","not random/matched + one-group design",8.3747965154593
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.6542,0.0879852642028985,"yes",6,48,"other","one site",31.4285714285714,"fixed curriculum","not random/matched + one-group design",11.3655395486902
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.738,0.0892533768115942,"yes",6,48,"other","one site",31.4285714285714,"fixed curriculum","not random/matched + one-group design",11.2040578824363
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.0778,0.0959599946376812,"yes",6,48,"other","one site",31.4285714285714,"fixed curriculum","not random/matched + one-group design",10.4210093359814
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.3732,0.0848472272463768,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.7858889730861
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.0674,0.0833827111594203,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.9928938037058
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.0532,0.0833640968115942,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.9955716938916
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.1917,0.0837327777898551,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.9427543955332
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.6932,0.0885564446376812,"yes",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.2922329265971
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.5211,0.0862849117028985,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.5895117728492
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.3615,0.0847537925724638,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.7988820281406
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.6856,0.0884425437681159,"no",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.3067756465922
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.1571,0.0836015986594203,"yes",7,48,"other",">1 site",0,"not fixed","not random/matched + one-group design",11.9614937517384
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.5244,0.10361836,"yes",8,40,"other",">1 site",16.6666666666667,"fixed curriculum","not random/matched + one-group design",9.65079933710589
"metaforest::fukkink_lont::fukkink_lont","metaforest",-0.8051,0.108528763289474,"yes",8,40,"other",">1 site",16.6666666666667,"fixed curriculum","not random/matched + one-group design",9.21414719646942
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.4003,0.1258005275,"yes",8,40,"other",">1 site",16.6666666666667,"fixed curriculum","not random/matched + one-group design",7.94909226433888
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.6916,0.10629356,"yes",8,40,"other",">1 site",16.6666666666667,"fixed curriculum","not random/matched + one-group design",9.407907685094
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.33,0.101432894736842,"yes",8,40,"other",">1 site",16.6666666666667,"fixed curriculum","not random/matched + one-group design",9.8587347092322
"metaforest::fukkink_lont::fukkink_lont","metaforest",0.53,0.103696052631579,"yes",8,40,"other",">1 site",16.6666666666667,"fixed curriculum","not random/matched + one-group design",9.64356862794858
"metaforest::fukkink_lont::fukkink_lont","metaforest",1.0253,0.0463085421354167,"yes",9,98,"other",">1 site",31.4285714285714,"fixed curriculum","not random/matched + one-group design",21.5942880921574
