"dataset","source","yi","vi","intelligencemeasure","cpsmeasure","weight"
"metaSEM::Stadler15::Stadler15","metaSEM",0.423648930193602,0.00609756097560976,"Reasoning","MCS",164
"metaSEM::Stadler15::Stadler15","metaSEM",0.151140435936467,0.0112359550561798,"General intelligence","Classical",89
"metaSEM::Stadler15::Stadler15","metaSEM",0.161386696131526,0.00709219858156028,"Reasoning","SCS",141
"metaSEM::Stadler15::Stadler15","metaSEM",0.972955074527657,0.0263157894736842,"General intelligence","Classical",38
"metaSEM::Stadler15::Stadler15","metaSEM",0.223656109021832,0.0277777777777778,"General intelligence","Classical",36
"metaSEM::Stadler15::Stadler15","metaSEM",0.510070336613307,0.024390243902439,"General intelligence","Classical",41
"metaSEM::Stadler15::Stadler15","metaSEM",1.29334467204897,0.00588235294117647,"Reasoning","SCS",170
"metaSEM::Stadler15::Stadler15","metaSEM",-0.0300090048631265,0.0222222222222222,"Reasoning","Classical",45
"metaSEM::Stadler15::Stadler15","metaSEM",0.120581028408444,0.0222222222222222,"Reasoning","Classical",45
"metaSEM::Stadler15::Stadler15","metaSEM",0.0902441878561468,0.0384615384615385,"General intelligence","Classical",26
"metaSEM::Stadler15::Stadler15","metaSEM",0.887183863258093,0.0833333333333333,"Reasoning","Classical",12
"metaSEM::Stadler15::Stadler15","metaSEM",0.741416144081269,0.04,"Reasoning","Classical",25
"metaSEM::Stadler15::Stadler15","metaSEM",0.342828254415394,0.0140845070422535,"Reasoning","Classical",71
"metaSEM::Stadler15::Stadler15","metaSEM",0.549306144334055,0.0072992700729927,"Reasoning","MCS",137
"metaSEM::Stadler15::Stadler15","metaSEM",0.244774112659353,0.00297619047619048,"Reasoning","Classical",336
"metaSEM::Stadler15::Stadler15","metaSEM",0.576339754969193,0.00297619047619048,"Reasoning","MCS",336
"metaSEM::Stadler15::Stadler15","metaSEM",0.192337169219545,0.00196850393700787,"General intelligence","Classical",508
"metaSEM::Stadler15::Stadler15","metaSEM",0.266108406873654,0.0555555555555556,"General intelligence","Classical",18
"metaSEM::Stadler15::Stadler15","metaSEM",-0.171666663500579,0.037037037037037,"Reasoning","Classical",27
"metaSEM::Stadler15::Stadler15","metaSEM",0.0600721559210316,0.037037037037037,"Reasoning","Classical",27
"metaSEM::Stadler15::Stadler15","metaSEM",0.400059650056057,0.037037037037037,"Reasoning","Classical",27
"metaSEM::Stadler15::Stadler15","metaSEM",0.497311287572031,0.037037037037037,"Reasoning","Classical",27
"metaSEM::Stadler15::Stadler15","metaSEM",0.497311287572031,0.0625,"General intelligence","Classical",16
"metaSEM::Stadler15::Stadler15","metaSEM",-0.0300090048631265,0.0555555555555556,"General intelligence","Classical",18
