"dataset","source","yi","vi","ux","uy","ryyi","rxxi","weight"
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0600721559210316,0.0037593984962406,0.96,0.91,0.85,0.69,266
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.342828254415394,0.00353356890459364,0.96,0.92,0.72,0.76,283
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.202732554054082,0.00390625,0.98,0.95,0.76,0.78,256
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.266108406873654,0.00490196078431373,0.98,0.96,0.86,0.83,204
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.400059650056057,0.00306748466257669,0.88,0.98,0.79,0.77,326
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.266108406873654,0.00387596899224806,0.96,0.95,0.7,0.74,258
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0600721559210316,0.0078740157480315,0.99,0.81,0.77,0.67,127
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.423648930193602,0.00271739130434783,0.99,0.93,0.77,0.83,368
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.354092528962243,0.0123456790123457,0.93,0.82,0.83,0.75,81
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0600721559210316,0.0048780487804878,0.91,0.9,0.8,0.82,205
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0600721559210316,0.00480769230769231,0.9,0.96,0.82,0.84,208
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0701146706543251,0.00446428571428571,0.97,0.94,0.75,0.75,224
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.130739850028878,0.00613496932515337,1.08,0.93,0.71,0.72,163
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.562729769352149,0.00294117647058824,1.02,0.88,0.77,0.8,340
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.192337169219545,0.0072992700729927,0.89,0.99,0.73,0.77,137
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.255412811882995,0.00305810397553517,0.95,0.94,0.81,0.76,327
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.151140435936467,0.0111111111111111,0.81,0.85,0.76,0.76,90
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0902441878561468,0.00373134328358209,0.95,0.87,0.8,0.86,268
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.140925576070494,0.00203665987780041,0.96,0.96,0.79,0.76,491
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.181982688600706,0.00699300699300699,0.97,0.99,0.75,0.75,143
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0100003333533348,0.00383141762452107,0.97,0.93,0.78,0.84,261
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.37688590118819,0.00574712643678161,0.87,0.85,0.86,0.7,174
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.21317134656486,0.00280898876404494,0.94,0.93,0.88,0.84,356
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.130739850028878,0.0048780487804878,0.94,0.95,0.86,0.83,205
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.130739850028878,0.0036231884057971,0.98,0.94,0.75,0.77,276
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.354092528962243,0.0175438596491228,1.15,0.79,0.78,0.85,57
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.161386696131526,0.00740740740740741,0.85,0.98,0.67,0.77,135
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0600721559210316,0.0555555555555556,0.76,0.75,0.78,0.72,18
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0701146706543251,0.00476190476190476,0.91,0.94,0.72,0.75,210
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0701146706543251,0.00666666666666667,0.98,0.91,0.72,0.83,150
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.120581028408444,0.00552486187845304,0.94,0.91,0.89,0.82,181
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0400213538367682,0.00408163265306122,0.92,0.95,0.78,0.83,245
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.287682072451781,0.00636942675159236,0.92,0.87,0.69,0.81,157
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0902441878561468,0.00680272108843537,0.9,0.89,0.82,0.73,147
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0701146706543251,0.00303951367781155,0.96,0.99,0.79,0.85,329
